region,season,map code,DS to VS,DS to CSS,DS to LSS,DS cluster size,VS cluster size,CSS cluster size,LSS cluster size
aunz,2003,1.0,4.954323761582455,5.391296205681127,5.391296205681127,2.0,1.0,2.0,2.0
aunz,2003,2.0,4.8398499711124146,4.795022320182651,4.795022320182651,2.0,1.0,2.0,2.0
aunz,2003,3.0,5.3417620102474705,5.1523703158635294,5.1523703158635294,2.0,1.0,1.0,1.0
aunz,2004,,,,,,,,
aunz,2005,,,,,,,,
aunz,2006,4.0,3.011662877140723,2.066143535085839,0.8264574140343354,7.0,2.0,2.0,5.0
aunz,2006,5.0,1.5688408260172981,1.8888316782259518,1.8888316782259518,2.0,1.0,1.0,1.0
aunz,2006,6.0,1.7906460755402487,1.2465061858170703,1.2465061858170703,2.0,1.0,1.0,1.0
aunz,2007,,,,,,,,
aunz,2008,,,,,,,,
aunz,2009,11.0,5.191710213501183,6.15020251416002,6.15020251416002,1.0,1.0,1.0,1.0
aunz,2010,12.0,4.597742783858256,2.4855151857570847,0.6097564083709545,1.0,2.0,3.0,10.0
aunz,2010,13.0,5.765190594999801,3.1908905789784674,1.073061580676232,1.0,4.0,5.0,11.0
aunz,2011,14.0,2.6405089162316346,0.0,0.0,5.0,1.0,5.0,5.0
aunz,2011,15.0,4.785135805537895,0.0,0.0,7.0,1.0,7.0,7.0
aunz,2011,16.0,1.8986095219929902,0.0,0.0,6.0,1.0,6.0,6.0
aunz,2011,17.0,3.5319025964851343,0.0,0.0,10.0,1.0,10.0,10.0
aunz,2011,18.0,1.6044225886113566,0.0,0.0,6.0,1.0,6.0,6.0
aunz,2012,19.0,3.5688871569657534,0.8110542543717187,0.6523545752449457,5.0,1.0,8.0,2.0
aunz,2012,20.0,2.8756271820816868,1.7854360807262872,0.3222739378734014,5.0,1.0,6.0,1.0
aunz,2012,21.0,3.135953687459534,0.316742778751968,1.1221435583140114,4.0,1.0,4.0,2.0
aunz,2012,22.0,1.2992109317083718,1.2465934722527034,0.23032355920002565,5.0,1.0,4.0,1.0
aunz,2012,23.0,4.40419540504923,1.1907478613122688,0.28218250655415894,6.0,1.0,6.0,1.0
aunz,2013,24.0,1.3851972466497025,0.6208628559326006,0.6208628559326006,4.0,2.0,5.0,5.0
aunz,2013,25.0,1.835650652354871,0.6771848589267552,0.6771848589267552,2.0,2.0,2.0,2.0
aunz,2013,26.0,1.9029100348741803,0.7519435481215999,0.7519435481215999,1.0,2.0,2.0,2.0
aunz,2013,27.0,2.4257920816928142,0.4063731918067946,0.4063731918067946,3.0,1.0,2.0,2.0
aunz,2013,28.0,1.8767465464636892,1.0490251244770514,1.0490251244770514,2.0,1.0,3.0,3.0
aunz,2014,29.0,2.351779935079167,2.1577173194264674,0.0,6.0,2.0,2.0,6.0
aunz,2014,30.0,1.6351155575378111,1.7355890425175136,0.0,7.0,2.0,7.0,7.0
aunz,2014,31.0,1.6606121781269971,1.3116724017455526,0.0,2.0,2.0,4.0,2.0
aunz,2014,32.0,3.4967396526466397,1.9712728328203761,0.0,3.0,2.0,6.0,3.0
aunz,2015,34.0,2.4541823333355732,4.928837469209075,0.0,2.0,14.0,1.0,2.0
aunz,2015,35.0,0.9670421653728869,4.267687953093936,0.0,8.0,7.0,1.0,8.0
aunz,2015,36.0,2.7027612176194196,3.966313834738191,0.0,2.0,9.0,2.0,2.0
aunz,2016,37.0,1.0078269826536415,1.2622881386652105,1.2622881386652105,3.0,3.0,4.0,4.0
aunz,2016,38.0,1.3569045582732389,0.9899475573143264,0.9899475573143264,2.0,4.0,2.0,2.0
aunz,2016,39.0,1.5073421547824275,0.5884539622786739,0.5884539622786739,1.0,4.0,2.0,2.0
aunz,2016,40.0,1.1670844507138585,1.0225819102659564,1.0225819102659564,3.0,4.0,2.0,2.0
aunz,2016,41.0,1.5466147307952802,0.6653776910009493,0.6653776910009493,3.0,4.0,2.0,2.0
aunz,2017,42.0,1.7763815494352926,1.0352251265622219,0.9405409035864942,2.0,4.0,2.0,1.0
aunz,2017,43.0,1.9661608165591313,1.038905147020043,0.9419796177951394,2.0,3.0,2.0,1.0
aunz,2017,44.0,1.7518066835545307,0.8811571601457651,0.8252886070123968,2.0,4.0,3.0,1.0
aunz,2017,45.0,1.7168554249840282,1.1745943797063312,0.9224461337818719,2.0,4.0,2.0,1.0
aunz,2018,46.0,4.668267694038829,1.944475251830614,0.0,4.0,1.0,1.0,4.0
aunz,2018,47.0,4.968272523118572,1.072105124744775,0.0,5.0,2.0,1.0,5.0
aunz,2019,48.0,2.6471526469839155,3.075742622292238,2.2265643742086456,1.0,7.0,1.0,1.0
aunz,2020,49.0,2.6104242631160806,0.3178936465113343,3.1325932371866885,3.0,1.0,2.0,4.0
aunz,2020,50.0,2.4693119559693995,2.360984239628187,2.674777613593213,3.0,1.0,1.0,4.0
