Isolate_Id,reason
EPI_ISL_96031,molecular clock outlier
EPI_ISL_96033,molecular clock outlier
EPI_ISL_96035,molecular clock outlier
EPI_ISL_96038,molecular clock outlier
EPI_ISL_83686,molecular clock outlier
EPI_ISL_84050,molecular clock outlier
EPI_ISL_89775,molecular clock outlier
EPI_ISL_186186,molecular clock outlier
EPI_ISL_186763,molecular clock outlier
EPI_ISL_187591,molecular clock outlier
EPI_ISL_77797,molecular clock outlier
EPI_ISL_80060,molecular clock outlier
EPI_ISL_85605,molecular clock outlier
EPI_ISL_97470,molecular clock outlier
EPI_ISL_97472,molecular clock outlier
EPI_ISL_97486,molecular clock outlier
EPI_ISL_128252,molecular clock outlier
EPI_ISL_136617,molecular clock outlier
EPI_ISL_187161,molecular clock outlier
EPI_ISL_327070,molecular clock outlier
EPI_ISL_348414,molecular clock outlier
EPI_ISL_348416,molecular clock outlier
EPI_ISL_14284903,molecular clock outlier
EPI_ISL_233238,molecular clock outlier
EPI_ISL_302518,molecular clock outlier
EPI_ISL_302514,molecular clock outlier
EPI_ISL_3923,molecular clock outlier
EPI_ISL_3929,molecular clock outlier
EPI_ISL_16069,molecular clock outlier
EPI_ISL_105790,molecular clock outlier
EPI_ISL_76984,molecular clock outlier
EPI_ISL_77620,molecular clock outlier
EPI_ISL_77767,molecular clock outlier
EPI_ISL_77773,molecular clock outlier
EPI_ISL_80057,molecular clock outlier
EPI_ISL_80412,molecular clock outlier
EPI_ISL_17264942,molecular clock outlier
EPI_ISL_17264947,molecular clock outlier
EPI_ISL_17264956,molecular clock outlier
EPI_ISL_17264980,molecular clock outlier
EPI_ISL_6712,molecular clock outlier
EPI_ISL_6730,molecular clock outlier
EPI_ISL_6731,molecular clock outlier
EPI_ISL_24854,molecular clock outlier
EPI_ISL_24856,molecular clock outlier
EPI_ISL_24834,molecular clock outlier
EPI_ISL_24841,molecular clock outlier
EPI_ISL_24843,molecular clock outlier
EPI_ISL_24850,molecular clock outlier
EPI_ISL_24853,molecular clock outlier
EPI_ISL_24858,molecular clock outlier
EPI_ISL_24863,molecular clock outlier
EPI_ISL_24860,molecular clock outlier
EPI_ISL_24861,molecular clock outlier
EPI_ISL_24862,molecular clock outlier
EPI_ISL_24864,molecular clock outlier
EPI_ISL_24842,molecular clock outlier
EPI_ISL_24845,molecular clock outlier
EPI_ISL_24846,molecular clock outlier
EPI_ISL_24848,molecular clock outlier
EPI_ISL_24849,molecular clock outlier
EPI_ISL_24851,molecular clock outlier
EPI_ISL_24852,molecular clock outlier
EPI_ISL_24813,molecular clock outlier
EPI_ISL_24816,molecular clock outlier
EPI_ISL_24817,molecular clock outlier
EPI_ISL_24818,molecular clock outlier
EPI_ISL_24819,molecular clock outlier
EPI_ISL_24820,molecular clock outlier
EPI_ISL_24821,molecular clock outlier
EPI_ISL_24822,molecular clock outlier
EPI_ISL_24823,molecular clock outlier
EPI_ISL_24824,molecular clock outlier
EPI_ISL_24825,molecular clock outlier
EPI_ISL_24826,molecular clock outlier
EPI_ISL_24827,molecular clock outlier
EPI_ISL_24828,molecular clock outlier
EPI_ISL_24829,molecular clock outlier
EPI_ISL_24830,molecular clock outlier
EPI_ISL_24831,molecular clock outlier
EPI_ISL_24832,molecular clock outlier
EPI_ISL_24833,molecular clock outlier
EPI_ISL_24835,molecular clock outlier
EPI_ISL_24837,molecular clock outlier
EPI_ISL_24838,molecular clock outlier
EPI_ISL_24839,molecular clock outlier
EPI_ISL_24840,molecular clock outlier
EPI_ISL_24847,molecular clock outlier
EPI_ISL_24855,molecular clock outlier
EPI_ISL_24857,molecular clock outlier
EPI_ISL_24859,molecular clock outlier
EPI_ISL_24865,molecular clock outlier
EPI_ISL_24866,molecular clock outlier
EPI_ISL_24867,molecular clock outlier
EPI_ISL_93806,molecular clock outlier
EPI_ISL_4807,molecular clock outlier
EPI_ISL_115695,molecular clock outlier
EPI_ISL_356897,molecular clock outlier
EPI_ISL_12722959,molecular clock outlier
EPI_ISL_12722961,molecular clock outlier
EPI_ISL_12722964,molecular clock outlier
EPI_ISL_64650,molecular clock outlier
EPI_ISL_20437,molecular clock outlier
EPI_ISL_98948,molecular clock outlier
EPI_ISL_3927,molecular clock outlier
EPI_ISL_3932,molecular clock outlier
EPI_ISL_5461,molecular clock outlier
EPI_ISL_5464,molecular clock outlier
EPI_ISL_72835,molecular clock outlier
EPI_ISL_63362,molecular clock outlier
EPI_ISL_63363,molecular clock outlier
EPI_ISL_145204,molecular clock outlier
EPI_ISL_17264825,molecular clock outlier
EPI_ISL_212165,molecular clock outlier
